Symbol,Rule,Performance,Accuracy,AvgNumTicks,NumTrades
MU,0.2x0.4,1.787790223,60,3.466666667,15
LRCX,0.2x0.4,1.908878491,57.14285714,2.80952381,21
AMAT,0.2x0.4,5.853601832,72.72727273,3.409090909,22
JPM,0.2x0.4,-0.431438242,46.66666667,3.2,15
GS,0.2x0.4,1.693684941,61.11111111,3,18
BAC,0.2x0.4,1.793464467,46.15384615,3.923076923,26
C,0.2x0.4,-0.262264123,42.10526316,3.631578947,19
MU,0.5x2,2.610161244,66.66666667,4.6,15
LRCX,0.5x2,-1.189059037,47.61904762,4.428571429,21
AMAT,0.5x2,4.991415481,59.09090909,4.863636364,22
JPM,0.5x2,-0.338776251,60,4.733333333,15
GS,0.5x2,1.447422717,66.66666667,4.888888889,18
BAC,0.5x2,0.339764976,50,4.884615385,26
C,0.5x2,0.331159107,47.36842105,4.842105263,19
MU,3x3,2.775586558,66.66666667,5,15
LRCX,3x3,-0.046018857,47.61904762,5,21
AMAT,3x3,4.165236699,59.09090909,5,22
JPM,3x3,-0.778579374,60,5,15
GS,3x3,2.297826681,66.66666667,5,18
BAC,3x3,0.673829887,50,5,26
C,3x3,-0.218385583,47.36842105,5,19
